wavelength	transmission	transmission
nm	%	%
	NaCl, not irradiated	NaCl, irradiated with X-rays
1041.9	86.429	70.339
1041.8	86.383	70.363
1041.7	86.355	70.374
1041.6	86.377	70.366
1041.5	86.365	70.345
1041.4	86.353	70.331
1041.3	86.404	70.313999
1041.2	86.326	70.308
1041.1	86.289	70.304
1041	86.37	70.284
1040.9	86.384	70.230999
1040.8	86.41	70.293
1040.7	86.444	70.27
1040.6	86.426	70.309999
1040.5	86.45	70.281
1040.4	86.394	70.304
1040.3	86.383	70.313999
1040.2	86.367999	70.289999
1040.1	86.319999	70.26
1040	86.35	70.27
1039.9	86.386	70.299
1039.8	86.396	70.301999
1039.7	86.295	70.265
1039.6	86.343	70.283
1039.5	86.343999	70.235
1039.4	86.417	70.275
1039.3	86.422	70.23
1039.2	86.435	70.218999
1039.1	86.4	70.235
1039	86.438999	70.282
1038.9	86.389	70.265
1038.8	86.311	70.28
1038.7	86.31	70.229
1038.6	86.334999	70.194999
1038.5	86.315	70.218999
1038.4	86.326	70.191999
1038.3	86.338	70.208
1038.2	86.342	70.187
1038.1	86.321	70.152
1038	86.301	70.17
1037.9	86.402999	70.202
1037.8	86.378999	70.178
1037.7	86.387	70.182999
1037.6	86.387	70.185
1037.5	86.355999	70.212
1037.4	86.321	70.221
1037.3	86.295999	70.193
1037.2	86.301	70.154
1037.1	86.295	70.142
1037	86.295	70.111
1036.9	86.325	70.116999
1036.8	86.337	70.147
1036.7	86.311	70.15
1036.6	86.348	70.201
1036.5	86.362	70.138
1036.4	86.361	70.123
1036.3	86.341	70.162
1036.2	86.414	70.198
1036.1	86.337	70.191999
1036	86.375999	70.196
1035.9	86.385	70.128
1035.8	86.284	70.093
1035.7	86.345	70.118
1035.6	86.381	70.056
1035.5	86.316	70.062
1035.4	86.316	70.091
1035.3	86.35	70.074
1035.2	86.375999	70.087999
1035.1	86.404	70.136
1035	86.363999	70.062
1034.9	86.433	70.105999
1034.8	86.412	70.062
1034.7	86.295	70.048
1034.6	86.292	70.089
1034.5	86.301	70.101
1034.4	86.334	70.037
1034.3	86.482	70.126
1034.2	86.441	70.028
1034.1	86.425	70.048999
1034	86.406	70.033999
1033.9	86.377	70.059
1033.8	86.447	69.993
1033.7	86.485	70.033999
1033.6	86.502	70.043
1033.5	86.497	70.077
1033.4	86.378999	70.062
1033.3	86.307999	70.038
1033.2	86.327	69.993
1033.1	86.345	69.999
1033	86.425	70.03
1032.9	86.473999	70.003
1032.8	86.41	69.986
1032.7	86.323	70.006999
1032.6	86.355999	69.985
1032.5	86.42	69.968
1032.4	86.492	69.989
1032.3	86.491	70.005
1032.2	86.419	69.971999
1032.1	86.394	69.952
1032	86.384	69.986999
1031.9	86.395	70.006999
1031.8	86.436	69.974999
1031.7	86.459	69.945
1031.6	86.45	69.896
1031.5	86.404	69.91
1031.4	86.408	69.929
1031.3	86.417999	69.92
1031.2	86.44	69.908
1031.1	86.487	69.913
1031	86.428	69.908
1030.9	86.383	69.919
1030.8	86.390999	69.922
1030.7	86.307999	69.914
1030.6	86.378999	69.899999
1030.5	86.382	69.891
1030.4	86.397	69.881
1030.3	86.367	69.872
1030.2	86.322	69.886
1030.1	86.373	69.83
1030	86.456	69.87
1029.9	86.488	69.855
1029.8	86.484	69.874
1029.7	86.465	69.899999
1029.6	86.401	69.894
1029.5	86.438999	69.914
1029.4	86.390999	69.895
1029.3	86.438999	69.869
1029.2	86.382	69.843999
1029.1	86.33	69.828
1029	86.273	69.806
1028.9	86.26	69.81
1028.8	86.31	69.789999
1028.7	86.453999	69.821
1028.6	86.44	69.825999
1028.5	86.41	69.825
1028.4	86.324	69.832
1028.3	86.271	69.813
1028.2	86.299	69.813
1028.1	86.325	69.827
1028	86.337	69.867
1027.9	86.333	69.816999
1027.8	86.299	69.807
1027.7	86.258	69.8
1027.6	86.294	69.733999
1027.5	86.324	69.768
1027.4	86.366	69.742999
1027.3	86.396	69.741
1027.2	86.323	69.759
1027.1	86.328999	69.74
1027	86.361	69.752
1026.9	86.38	69.755
1026.8	86.355999	69.758
1026.7	86.315	69.776
1026.6	86.292999	69.788
1026.5	86.285	69.753
1026.4	86.312999	69.750999
1026.3	86.339	69.772
1026.2	86.334	69.727999
1026.1	86.301	69.687
1026	86.341	69.703
1025.9	86.316999	69.717
1025.8	86.341	69.703999
1025.7	86.369	69.71
1025.6	86.334	69.727999
1025.5	86.351999	69.756
1025.4	86.339999	69.759
1025.3	86.273	69.706
1025.2	86.361	69.723
1025.1	86.312999	69.688
1025	86.303	69.642
1024.9	86.261	69.61
1024.8	86.339	69.632
1024.7	86.326	69.658
1024.6	86.336	69.651
1024.5	86.414999	69.65
1024.4	86.392	69.607
1024.3	86.407	69.647
1024.2	86.355	69.652
1024.1	86.288	69.643999
1024	86.373	69.675
1023.9	86.268	69.628999
1023.8	86.238	69.652999
1023.7	86.322	69.579
1023.6	86.324	69.632
1023.5	86.319	69.615
1023.4	86.292999	69.589
1023.3	86.334999	69.567
1023.2	86.421	69.562
1023.1	86.366	69.583
1023	86.382	69.611
1022.9	86.322	69.59
1022.8	86.319	69.589
1022.7	86.355	69.614
1022.6	86.334	69.63
1022.5	86.303	69.571
1022.4	86.297	69.568
1022.3	86.276	69.565
1022.2	86.249	69.572999
1022.1	86.301	69.544
1022	86.304	69.544
1021.9	86.316	69.528
1021.8	86.339	69.532
1021.7	86.328	69.538
1021.6	86.325	69.54
1021.5	86.292999	69.543
1021.4	86.316999	69.56
1021.3	86.345	69.557
1021.2	86.309	69.516
1021.1	86.316999	69.494
1021	86.249	69.474999
1020.9	86.259	69.486
1020.8	86.280999	69.486999
1020.7	86.318	69.477
1020.6	86.386	69.477
1020.5	86.371	69.474999
1020.4	86.342	69.486999
1020.3	86.319999	69.455
1020.2	86.299	69.434
1020.1	86.319999	69.473
1020	86.316	69.485
1019.9	86.327	69.477999
1019.8	86.324	69.452
1019.7	86.306	69.449
1019.6	86.284	69.434
1019.5	86.33	69.41
1019.4	86.385	69.420999
1019.3	86.413	69.366
1019.2	86.323	69.392
1019.1	86.321	69.378
1019	86.316	69.435999
1018.9	86.294	69.394
1018.8	86.327	69.423
1018.7	86.353	69.418
1018.6	86.283	69.396
1018.5	86.328	69.399999
1018.4	86.221	69.394
1018.3	86.246	69.405
1018.2	86.273	69.37
1018.1	86.328999	69.367999
1018	86.343999	69.357
1017.9	86.303	69.343
1017.8	86.316	69.311
1017.7	86.385	69.359
1017.6	86.351999	69.318
1017.5	86.355	69.324
1017.4	86.284	69.33
1017.3	86.311	69.319
1017.2	86.309	69.347
1017.1	86.303	69.343
1017	86.273	69.358
1016.9	86.267	69.304
1016.8	86.201	69.297
1016.7	86.217	69.271
1016.6	86.241999	69.293
1016.5	86.294	69.297
1016.4	86.312	69.269
1016.3	86.35	69.283
1016.2	86.334999	69.293
1016.1	86.307	69.276
1016	86.288	69.291
1015.9	86.312	69.298
1015.8	86.338	69.28
1015.7	86.327	69.307
1015.6	86.268999	69.286
1015.5	86.244	69.246
1015.4	86.280999	69.232
1015.3	86.312	69.23
1015.2	86.339	69.215999
1015.1	86.343999	69.21
1015	86.324	69.221
1014.9	86.325	69.215999
1014.8	86.336	69.221
1014.7	86.343	69.261
1014.6	86.372	69.241
1014.5	86.358	69.221
1014.4	86.292999	69.225
1014.3	86.233	69.196
1014.2	86.224999	69.191
1014.1	86.232	69.161
1014	86.27	69.166
1013.9	86.328	69.140999
1013.8	86.322	69.167
1013.7	86.307	69.135
1013.6	86.319999	69.14
1013.5	86.275	69.123
1013.4	86.372	69.149
1013.3	86.312999	69.155
1013.2	86.304	69.171
1013.1	86.226	69.13
1013	86.211	69.123
1012.9	86.206	69.103
1012.8	86.267	69.086
1012.7	86.264	69.048
1012.6	86.26	69.077999
1012.5	86.235	69.105999
1012.4	86.232	69.081999
1012.3	86.276	69.101
1012.2	86.304999	69.113
1012.1	86.315	69.072999
1012	86.288	69.108999
1011.9	86.241	69.102
1011.8	86.182	69.076
1011.7	86.231	69.047
1011.6	86.306	69.033999
1011.5	86.284	69.045
1011.4	86.273	69.025
1011.3	86.241	69.029
1011.2	86.256999	69.009
1011.1	86.277	68.996
1011	86.291	68.997
1010.9	86.353	69.003
1010.8	86.343999	69.044
1010.7	86.302	69.087
1010.6	86.233999	69.023
1010.5	86.236	68.998
1010.4	86.201	69.018
1010.3	86.181	69.014
1010.2	86.25	68.994999
1010.1	86.259	68.971999
1010	86.248	68.941
1009.9	86.249	68.955
1009.8	86.241	68.959999
1009.7	86.243	68.934
1009.6	86.28	68.969
1009.5	86.302	68.986
1009.4	86.248	68.961
1009.3	86.261	68.976
1009.2	86.204	68.986999
1009.1	86.175	68.932999
1009	86.199	68.926
1008.9	86.182999	68.943
1008.8	86.196	68.937
1008.7	86.204	68.911
1008.6	86.211	68.884
1008.5	86.246	68.894
1008.4	86.206	68.946
1008.3	86.259	68.922
1008.2	86.264	68.935
1008.1	86.282	68.901
1008	86.285	68.908
1007.9	86.238	68.896999
1007.8	86.22	68.882
1007.7	86.170999	68.886
1007.6	86.206999	68.833999
1007.5	86.236999	68.837
1007.4	86.191	68.822
1007.3	86.265	68.791
1007.2	86.295	68.828999
1007.1	86.215	68.825999
1007	86.265	68.825
1006.9	86.221	68.822
1006.8	86.229999	68.849
1006.7	86.221	68.83
1006.6	86.217	68.83
1006.5	86.252	68.813999
1006.4	86.244	68.783
1006.3	86.191	68.786
1006.2	86.192	68.766
1006.1	86.226	68.784
1006	86.241999	68.76
1005.9	86.22	68.747
1005.8	86.196	68.721
1005.7	86.218999	68.755
1005.6	86.244	68.757
1005.5	86.261	68.773
1005.4	86.208	68.8
1005.3	86.196	68.756
1005.2	86.162	68.75
1005.1	86.164	68.745
1005	86.172	68.735999
1004.9	86.182	68.688
1004.8	86.197999	68.671
1004.7	86.191	68.685
1004.6	86.217999	68.679999
1004.5	86.229999	68.678
1004.4	86.229	68.686
1004.3	86.27	68.701
1004.2	86.265999	68.723
1004.1	86.256	68.718
1004	86.26	68.688
1003.9	86.235	68.655
1003.8	86.203	68.645
1003.7	86.178999	68.666
1003.6	86.238	68.65
1003.5	86.199	68.645
1003.4	86.212999	68.615
1003.3	86.228	68.628999
1003.2	86.249	68.62
1003.1	86.232	68.640999
1003	86.246	68.669
1002.9	86.231	68.631
1002.8	86.226	68.593
1002.7	86.249	68.6
1002.6	86.18	68.616999
1002.5	86.215	68.574
1002.4	86.209999	68.587
1002.3	86.212999	68.572
1002.2	86.215	68.561
1002.1	86.212999	68.547
1002	86.185	68.563
1001.9	86.233	68.54
1001.8	86.185	68.572999
1001.7	86.158	68.569999
1001.6	86.218999	68.592
1001.5	86.109	68.533
1001.4	86.137	68.518999
1001.3	86.158	68.557
1001.2	86.214	68.529
1001.1	86.193	68.517
1001	86.19	68.509
1000.9	86.189	68.452
1000.8	86.144	68.471999
1000.7	86.209	68.474999
1000.6	86.265	68.455
1000.5	86.204	68.486999
1000.4	86.221	68.489999
1000.3	86.185999	68.474
1000.2	86.223	68.478
1000.1	86.211	68.498
1000	86.157	68.481
999.9	86.146999	68.423999
999.8	86.137	68.423
999.7	86.205	68.402
999.6	86.231	68.405
999.5	86.212	68.408999
999.4	86.209	68.413
999.3	86.178	68.395
999.2	86.187	68.407
999.1	86.19	68.427
999	86.19	68.439
998.9	86.209999	68.41
998.8	86.182	68.378
998.7	86.161	68.36
998.6	86.158999	68.367999
998.5	86.176	68.377
998.4	86.205	68.345999
998.3	86.201	68.342
998.2	86.194	68.348
998.1	86.167	68.333999
998	86.197999	68.354
997.9	86.173	68.371
997.8	86.184	68.372999
997.7	86.14	68.383
997.6	86.16	68.395
997.5	86.17	68.310999
997.4	86.149	68.322
997.3	86.178999	68.306
997.2	86.169	68.292
997.1	86.162	68.291
997	86.223	68.304
996.9	86.233999	68.277
996.8	86.218999	68.273
996.7	86.154	68.277
996.6	86.193	68.301999
996.5	86.218999	68.288
996.4	86.136	68.277
996.3	86.170999	68.271
996.2	86.154	68.239
996.1	86.128	68.21
996	86.173999	68.241
995.9	86.170999	68.218
995.8	86.177	68.188
995.7	86.172	68.227
995.6	86.173999	68.218999
995.5	86.136	68.209
995.4	86.154	68.211999
995.3	86.139	68.206999
995.2	86.19	68.21
995.1	86.194999	68.22
